No;MCMCglmm_family;MCMCglmm_PO;plate
1;F1;0.668545903;1
2;F1;0.802498046;1
3;F1;0.823365757;1
4;F1;0.769642142;1
5;F1;0.943739324;1
6;F1;0.89237735;1
7;F1;1.018954526;4
8;F1;1.367238652;4
9;F1;1.111368607;4
10;F1;0.762512374;4
11;F1;0.857072727;4
12;F2;0.898460917;1
13;F2;0.857432988;1
14;F2;0.949655277;1
15;F2;0.683754583;1
16;F2;0.915587956;1
17;F3;0.748556882;1
18;F3;0.883052653;1
19;F3;0.84852147;1
20;F3;0.778995239;1
21;F3;0.897645957;1
22;F3;1.264034035;1
23;F3;1.130991651;4
24;F3;0.87753269;4
25;F3;0.871141445;4
26;F3;0.875010118;4
27;F3;1.154916859;4
28;F3;0.977766642;4
29;F4;0.927208578;1
30;F4;1.323084779;1
31;F4;1.013439094;1
32;F4;1.285129483;1
33;F4;0.863075817;1
34;F4;1.21095083;1
35;F4;1.190659606;4
36;F4;1.436591664;4
37;F4;1.323600955;4
38;F4;1.450400858;4
39;F4;1.324244461;4
40;F5;1.209619251;1
41;F5;1.06500073;1
42;F5;1.041925734;1
43;F5;1.01832245;1
44;F5;1.042805112;1
45;F5;0.828336152;1
46;F5;1.129849568;4
47;F5;0.944541217;4
48;F5;1.124031433;4
49;F6;1.402611373;1
50;F6;0.973329317;1
51;F6;0.855986393;1
52;F6;1.3399619;1
53;F6;0.979700178;1
54;F6;0.698407479;1
55;F6;1.149775432;4
56;F6;0.92920922;4
57;F6;1.025269511;4
58;F6;0.910177505;4
59;F6;1.125692768;4
60;F6;0.913887467;4
61;F7;0.941512535;1
62;F7;1.351362704;1
63;F7;0.782176604;1
64;F7;0.813832784;1
65;F7;0.778995239;1
66;F7;0.921741573;1
67;F7;1.172540486;4
68;F7;1.308828643;4
69;F7;1.231374512;4
70;F7;1.241926887;4
71;F7;1.27791591;4
72;F7;1.288888519;4
73;F7;1.068723729;4
74;F8;0.946725355;1
75;F8;1.606965522;1
76;F8;1.23509702;1
77;F8;0.795313788;1
78;F8;1.020711783;1
79;F8;1.23486144;4
80;F8;1.229043101;4
81;F8;1.122915537;4
82;F8;1.220748887;4
83;F9;0.731879141;1
84;F9;0.841444228;1
85;F9;0.958313301;1
86;F9;0.952531322;1
87;F9;1.12910682;1
88;F9;0.939460056;1
89;F9;0.997721677;4
90;F9;1.121792867;4
91;F9;1.019458478;4
92;F9;1.132060195;4
93;F9;1.355483199;4
94;F9;1.32419305;4
95;F10;1.149896596;1
96;F10;0.936750462;1
97;F10;0.971485739;1
98;F10;1.282304814;1
99;F10;0.804101808;1
100;F10;0.926310924;1
101;F11;0.700881095;1
102;F11;0.920810987;1
103;F11;1.100867735;1
104;F11;1.056297488;1
105;F11;0.917746502;1
106;F11;0.873088791;1
107;F11;1.393137275;4
108;F11;1.485289385;4
109;F11;1.185695438;4
110;F11;1.080595327;4
111;F11;1.209930749;4
112;F12;0.800328963;1
113;F12;0.998008199;1
114;F12;1.066442004;1
115;F12;1.695186827;1
116;F12;1.132791282;1
117;F12;1.637064074;1
118;F12;1.15128445;4
119;F12;1.182450876;4
120;F12;1.068912543;4
121;F12;1.151704831;4
122;F12;1.155564559;4
123;F14;1.26831955;1
124;F14;0.825194262;1
125;F14;1.458129314;1
126;F16;1.004739345;1
127;F16;1.179203331;1
128;F16;0.546809798;1
129;F16;1.053743596;1
130;F16;1.031004726;1
131;F16;0.830099539;1
132;F16;1.438325413;4
133;F16;1.485045983;4
134;F16;1.273824298;4
135;F16;0.970131488;4
136;F17;1.197357601;1
137;F17;1.193095317;1
138;F17;0.987973804;1
139;F17;1.17010414;1
140;F17;0.894618707;1
141;F17;1.000282586;1
142;F17;1.199431229;4
143;F17;1.203927229;4
144;F17;1.229043101;4
145;F17;0.983029124;4
146;F17;1.120024922;4
147;F17;0.989639383;4
148;F18;1.270280922;2
149;F18;1.060009778;2
150;F18;1.274149378;2
151;F18;1.104770693;2
152;F18;0.923814776;2
153;F18;1.155388132;2
154;F18;1.293265765;4
155;F18;1.082003033;4
156;F18;1.194974429;4
157;F18;1.132990173;4
158;F18;1.188936431;4
159;F18;1.431168478;4
160;F19;1.37877311;2
161;F19;1.375837174;2
162;F19;0.906886234;2
163;F19;0.961216604;2
164;F19;0.900345222;2
165;F19;0.898460917;2
166;F19;1.181322963;5
167;F19;1.205524772;5
168;F19;1.332070362;5
169;F19;1.360010513;5
170;F19;1.287337975;5
171;F19;1.407880811;5
172;F20;1.048943858;2
173;F20;1.061787592;2
174;F20;1.127271032;2
175;F20;1.12284557;2
176;F20;1.049682895;2
177;F20;1.080506975;2
178;F20;1.44652359;5
179;F20;1.304057234;5
180;F20;1.489554256;5
181;F20;1.262597159;5
182;F20;1.342672696;5
183;F20;1.305014403;5
184;F21;1.124100954;2
185;F21;1.146597602;2
186;F21;1.038024524;2
187;F21;1.182092703;2
188;F21;1.015125807;2
189;F21;0.972158589;2
190;F21;1.1676366;5
191;F21;1.240517946;5
192;F21;1.27628238;5
193;F21;1.355081264;5
194;F21;1.020711783;5
195;F21;1.224711565;5
196;F22;1.176849963;2
197;F22;1.073660234;2
198;F22;1.304817687;2
199;F22;1.15391151;2
200;F22;0.970471128;2
201;F22;0.966520943;2
202;F22;1.447483858;5
203;F22;1.278553064;5
204;F22;1.493869925;5
205;F22;1.414966316;5
206;F22;1.319463151;5
207;F22;1.268653284;5
208;F23;0.973162593;2
209;F23;1.198914861;2
210;F23;1.164127957;2
211;F23;1.309462421;2
212;F23;1.427433582;2
213;F23;1.093623218;5
214;F23;1.634004019;5
215;F23;1.374324051;5
216;F23;1.401119992;5
217;F23;1.377926602;5
218;F23;1.32715503;5
219;F24;1.27502459;2
220;F24;1.254332929;2
221;F24;0.968765661;2
222;F24;1.22705232;2
223;F24;1.095664901;2
224;F24;1.115638606;2
225;F24;1.300156561;5
226;F24;1.34514042;5
227;F24;1.433276422;5
228;F24;1.540302733;5
229;F24;1.157552723;5
230;F24;1.137894872;5
231;F25;1.06335284;2
232;F25;1.101497874;2
233;F25;1.237902922;2
234;F25;1.325218968;2
235;F25;1.294950554;2
236;F25;1.25372469;2
237;F25;1.407081996;5
238;F25;1.39675451;5
239;F25;1.248756401;5
240;F25;1.583083605;5
241;F25;1.153733542;5
242;F25;1.147212885;5
243;F26;1.341654105;2
244;F26;1.201436915;2
245;F26;1.212493186;2
246;F26;1.26855322;2
247;F26;1.486706545;2
248;F26;0.853047873;2
249;F26;1.210552289;2
250;F26;0.893782193;5
251;F26;1.487988945;5
252;F26;1.442918223;5
253;F26;1.319725723;5
254;F27;0.963890926;2
255;F27;1.239790644;2
256;F27;1.222969252;2
257;F27;1.302357634;2
258;F27;1.132592178;2
259;F27;1.260006343;2
260;F27;1.35202078;5
261;F27;1.360229032;5
262;F27;1.520022637;5
263;F27;0.991586101;5
264;F27;1.208994789;5
265;F27;1.130118924;5
266;F28;1.041152565;2
267;F28;1.356462672;2
268;F28;1.424333007;2
269;F28;1.146042127;2
270;F28;1.384670843;2
271;F28;1.542317372;2
272;F28;1.373810566;5
273;F28;1.418582196;5
274;F28;1.578496493;5
275;F28;1.207109563;5
276;F28;1.545475743;5
277;F28;1.141158195;5
278;F29;0.888949866;2
279;F29;0.740063981;2
280;F29;1.148376434;2
281;F29;0.937589257;2
282;F29;0.994828612;2
283;F29;1.059612238;2
284;F29;1.352676918;2
285;F30;1.115420164;3
286;F30;0.887789322;3
287;F30;1.306665325;3
288;F30;1.335734678;3
289;F30;1.078909084;3
290;F30;0.994974484;3
291;F30;1.371371059;5
292;F30;1.217393081;5
293;F30;1.279093133;5
294;F30;1.547090338;5
295;F30;1.360032375;5
296;F30;1.3015884;5
297;F31;1.094932555;3
298;F31;1.170158617;3
299;F31;1.503425334;3
300;F31;1.679244308;3
301;F31;1.64017394;3
302;F31;1.400517072;3
303;F31;1.520822548;5
304;F31;1.362748403;5
305;F31;1.289100457;5
306;F31;1.517146363;5
307;F31;1.622520775;5
308;F32;1.266035902;3
309;F32;1.139949068;3
310;F32;1.059114037;3
311;F32;1.140140501;3
312;F32;1.128971456;3
313;F32;1.248682976;3
314;F32;1.098164926;5
315;F32;1.517921846;5
316;F32;1.242797848;5
317;F32;1.36014165;5
318;F32;1.211127703;5
319;F32;1.175424107;5
320;F33;1.228232903;3
321;F33;1.019960922;3
322;F33;1.127339349;3
323;F33;1.112482486;3
324;F33;1.305631484;3
325;F33;0.768947002;3
326;F33;1.424844383;5
327;F33;1.233639908;5
328;F33;1.413379544;5
329;F33;1.196502976;5
330;F33;1.334438254;5
331;F33;1.12638062;5
332;F34;1.384533582;3
333;F34;1.388635185;3
334;F34;1.07292389;3
335;F34;1.037572956;3
336;F34;1.188441298;3
337;F34;1.165472154;3
338;F34;0.919874656;3
339;F34;1.085474435;3
340;F34;1.290096756;6
341;F34;1.158307455;6
342;F34;1.053537653;6
343;F34;0.910427708;6
344;F35;1.193723685;3
345;F35;1.445060764;3
346;F35;1.17998149;3
347;F35;1.393609053;3
348;F35;1.310204051;3
349;F35;1.222385117;3
350;F35;1.431344861;6
351;F35;1.329751836;6
352;F35;1.248609525;6
353;F35;1.230814209;6
354;F35;0.906373392;6
355;F35;1.176692051;6
356;F36;1.229688934;3
357;F36;1.178787035;3
358;F36;1.117952649;3
359;F36;1.195214048;3
360;F36;1.017815068;3
361;F36;1.294272329;3
362;F36;1.126105785;6
363;F36;1.07078964;6
364;F36;1.306776795;6
365;F36;1.530995865;6
366;F36;0.864109315;6
367;F36;1.113442401;6
368;F37;0.792442392;3
369;F37;1.005288084;3
370;F37;1.13969352;3
371;F37;0.972493956;3
372;F37;1.253150588;3
373;F37;1.055992995;3
374;F37;1.080330139;6
375;F37;1.409523028;6
376;F37;1.267012868;6
377;F37;1.071999124;6
378;F37;1.51058854;6
379;F37;1.204887297;6
380;F38;1.080153127;3
381;F38;1.328141916;3
382;F38;1.223593237;3
383;F38;0.929429907;3
384;F38;1.246467946;3
385;F38;1.263761108;3
386;F38;1.198019758;6
387;F38;1.153674182;6
388;F38;1.150983606;6
389;F38;1.2097083;6
390;F38;1.222510431;6
391;F38;0.968250448;6
392;F39;1.356773424;3
393;F39;1.298338704;3
394;F39;0.963004487;3
395;F39;0.998294223;3
396;F39;0.934633297;3
397;F39;1.276443092;3
398;F39;1.296855703;6
399;F39;1.393552491;6
400;F39;1.295743989;6
401;F39;1.612651557;6
402;F39;1.230533475;6
403;F39;1.382860217;6
404;F40;1.248939848;3
405;F40;1.285806747;3
406;F40;1.050942513;3
407;F40;1.210286152;3
408;F40;0.82151226;3
409;F40;1.250874403;3
410;F40;1.294065483;6
411;F40;1.393552491;6
412;F40;1.294921111;6
413;F40;1.614401817;6
414;F40;1.223593237;6
415;F40;1.355326977;6
416;F41;0.895173756;3
417;F41;0.90299623;3
418;F41;1.118526642;3
419;F41;1.107605908;3
420;F41;1.344789568;3
421;F41;1.314520525;3
422;F41;1.106385279;6
423;F41;1.3015884;6
424;F41;1.028638609;6
425;F41;1.279346805;6
426;F41;1.087355347;6
427;F42;1.066442004;3
428;F42;0.656496093;3
429;F42;0.988277907;3
430;F42;0.888949866;3
431;F42;1.562839982;3
432;F42;1.146967012;3
433;F42;0.872442604;6
434;F42;1.115856789;6
435;F42;1.368568438;6
436;F42;1.502627104;6
437;F42;1.229567997;6
438;F42;1.273270501;6
439;F43;1.160954339;3
440;F43;0.99628152;3
441;F43;1.08400733;3
442;F43;1.447573685;3
443;F43;1.326214617;3
444;F43;1.154148541;3
445;F43;1.516763354;6
446;F43;1.347002311;6
447;F43;1.24445378;6
448;F43;1.162830865;6
449;F43;0.927208578;6
450;F43;1.190659606;6
451;F44;0.846591373;3
452;F44;1.218333259;3
453;F44;0.952150886;3
454;F44;0.906630033;3
455;F44;0.822442178;3
456;F44;0.962826604;3
457;F44;1.396921808;6
458;F44;1.01027964;6
459;F44;1.226643619;6
460;F44;0.955728356;6
461;F45;1.106691203;6
462;F45;1.317138735;6
463;F45;1.444470075;6
464;F45;1.442902959;6
465;F45;1.446914166;6
466;F45;1.3330354;6
467;F45;1.003774652;4
468;F45;1.39675451;4
469;F45;1.152423325;4
470;F45;1.628583834;4
471;F45;1.356195969;4
472;F45;1.387030535;4
473;F46;1.02587608;6
474;F46;1.184434447;6
475;F46;1.164408776;6
476;F46;1.270115416;6
477;F46;1.301873624;6
478;F46;1.298859669;6
479;F46;1.252394647;4
480;F46;1.656215547;4
481;F46;1.132791282;4
482;F46;1.530270478;4
483;F46;1.334511841;4
484;F46;1.240861556;4
485;F47;0.996136807;7
486;F47;1.255969834;7
487;F47;1.261599204;7
488;F47;1.112111945;4
489;F47;1.132525763;4
490;F47;1.281051152;4
491;F47;1.134967517;4
492;F47;1.467470105;4
493;F47;1.133321188;4
494;F48;1.45921536;6
495;F48;0.834834896;6
496;F48;0.775732979;6
497;F48;0.923814776;6
498;F48;1.140904288;7
499;F48;1.177480324;7
500;F49;1.088795367;6
501;F49;1.426699053;6
502;F49;1.648057952;6
503;F49;1.229970839;7
504;F50;0.878777648;6
505;F50;0.889814276;6
506;F50;0.833559562;6
507;F50;0.884846984;6
508;F50;1.154266946;6
509;F50;1.246986927;6
510;F50;1.104616174;7
511;F50;1.212756397;7
